glyph_hash|font_name|GlyphName|unicode_hex|AGL_name
000235509aeebb3a52ed6385880a4d85|AHEKPO+Arial.tu.n.035|G114|0072|r
0002f7a8ee6ca2e14b0882c76b190bd5|AMLBMF+Arial083.313|G47|002f|slash
0003eac1af5e2a49f5ab1f3621cc76a8|FPANFN+Arial.Narrow037.5|G109|006d|m
000ab5a7c900822e49511d8c5f808590|BKGBDN+Arial.tu.n.0104.125|G33|0021|exclam
000f29ce979c85365c72395d1f4246e9|AEFHEO+Arial.tu.n..kurz.va091.688|G97|0061|a
000f7af43eca5f0369bde7dc88861176|BHADIP+Arial.tu.n..kurz.va037.5|G225|00e1|aacute
000fdea9d1d80b23cba3d4cc0f5f846a|EMPGKF+Arial.tu.n.020.813|G66|0042|B
001489ad08d05af08386f75cb52874d6|BILLBP+Arial.kurz.va066.688|G72|0048|H
002199a104b9fca38f24e9f7767857a4|CJLIBM+Arial036.688|G80|0050|P
0022a148ecaed435868e875b7ce2fa61|CINEMO+Arial027.063|G57|0039|nine
00235b3c55498c01534f8e77e259a5cf|BKLJOE+Arial0388.063|G236|011b|ecaron
002371b9b099103537cf6fbc85c33427|ADEFHP+Arial.tu.n.025|G121|0079|y
00250627e3d1ad222a6aa418254cf9ce|BPBNJE+Arial0282.125|G118|0076|v
002615dad12796928d33ae8c879cd3dc|BBHIPP+Arial033.313|G128|20ac|Euro
00262bc13525ef209dac493a4f184ab2|CKHMLM+Arial.tu.n.0423.25|G111|006f|o
00291f3e064448da7e8d3f080393e714|BHBPIG+Arial.tu.n.037.5|G105|0069|i
0029e6cedabda18412820e47f6fc94e9|CNLHGM+Arial.kurz.va037.5|G125|007d|braceright
002a5b45fe86fdaf3b79f30ec803f6fe|EHDLHH+Times.New.Roman.tu.n.041.688|G49|0031|one
002ad9db7398696065e0bae8b111b08d|AEBKJP+Arial083.313|G110|006e|n
002b1d58683249ef05d1bc2d454c717d|BHBPIG+Arial.tu.n.037.5|G47|002f|slash
002e2755106a3dd2ffb7e3682f7d8d9a|AFGGGM+Arial097.25|G154|0161|scaron
002f1bbff59c87fe8765e9bbfb230cdd|CJNPCO+Arial025|G97|0061|a
002f47ffb3c7a96f9427f08cce5ae87c|DKBFAC+Arial029.188|G36|0024|dollar
00371789c215be4ee21e1b75bc8b4696|ACIGPN+Arial.tu.n..kurz.va031.25|G64|0040|at
00381cea373483a58698a9d2dc55b2e8|DLAHMP+Arial.tu.n..kurz.va037.063|G80|0050|P
003d7ff592c911f529fb89f0591852f2|BNIHKP+Arial.tu.n.0529.125|G80|0050|P
003ed0ad824fb0bca6f94bfca43da9ca|DFIJCP+Arial.tu.n.0208.313|G100|0064|d
003fb45147c8efc801aeba13fee84ce0|DLJCOC+Arial.tu.n.0329.188|G154|0161|scaron
00456265a85f47691cc658660f21cd02|ACKKNH+Arial.tu.n.0208.313|G109|006d|m
0046eb6ee5e273d74a6ef8dd11b9f149|AOLFCB+Arial0266.688|G85|0055|U
0051acde690ac096eabf336f4fec78d6|BILIML+Arial.kurz.va075|G228|00e4|adieresis
005280757a68a70fc0049e453dbeb4bb|BGBDOG+Arial033.313|G68|0044|D
005389ccab60ae2240dd296f26f81f8e|CDDHNM+Wingdings050|G219|2b88|
0053926b798b5dc272d7d6f2e0934a54|AGLOFP+Arial.tu.n.0188.125|G114|0072|r
0056a182c04ddfae30d73cedfe8d9710|AOKENH+Arial.tu.n.01199.938|G100|0064|d
0059a58de2292fdf1b8c67fe0ffc1aed|CJKHJN+Arial.tu.n.068.75|G120|0078|x
005a6070802cc835aa29070145b95a95|BMMEGP+Arial.tu.n.0183.313|G84|0054|T
005b3cd4b79c317a1797b5f3df856317|CKHMLL+Arial0199.875|G87|0057|W
005b7d428e371db2cdb2c5f70e9a3d53|CHBDDI+Arial032.5|G104|0068|h
005e4ea82d1e8a91bc027632e2c9ad57|DJCNJI+Arial.tu.n.0125|G88|0058|X
005ef47781a5e552b5dfb555bcd3938f|AHBOGF+Arial.tu.n..kurz.va034.188|G108|006c|l
005fc34d2c88fd38d14ff8d60dcaf039|BDDOHM+Arial.tu.n.033.313|G81|0051|Q
0063213f530a2a7b11ee85fdb73df0c8|AEBKJP+Arial083.313|G98|0062|b
006385844cebbb7cf22c00928b46a552|ACJOBL+Arial.tu.n.029.188|G86|0056|V
006b6aca7fc74d83e0ace510d952a4fa|BGBFGI+Arial.kurz.va037.5|G71|0047|G
006d8a4e318232ad6e5934874b241833|DFIHOG+Arial.tu.n.041.688|G252|00fc|udieresis
